year,cipcode,major_number,total,instnm,cip_code,humanities_discipline,classification,total_students,total_degrees
2005,03.0103,1,24,Harvard University,Environmental Studies,NA,Other/Unknown,1807,1910
2005,05.0104,1,14,Harvard University,East Asian Studies,Area Studies,Humanities,1807,1910
2005,05.0104,2,3,Harvard University,East Asian Studies,Area Studies,Humanities,1807,1910
2005,05.0108,1,4,Harvard University,Near and Middle Eastern Studies,Area Studies,Humanities,1807,1910
2005,05.0108,2,6,Harvard University,Near and Middle Eastern Studies,Area Studies,Humanities,1807,1910
2005,05.0201,1,5,Harvard University,African-American/Black Studies,"Cultural, Ethnic, and Gender Studies",Humanities,1807,1910
2005,05.0201,2,7,Harvard University,African-American/Black Studies,"Cultural, Ethnic, and Gender Studies",Humanities,1807,1910
2005,05.0207,1,6,Harvard University,Women's Studies,"Cultural, Ethnic, and Gender Studies",Humanities,1807,1910
2005,05.0207,2,6,Harvard University,Women's Studies,"Cultural, Ethnic, and Gender Studies",Humanities,1807,1910
2005,11.0701,1,32,Harvard University,Computer Science,NA,Engineering,1807,1910
2005,14.1301,1,25,Harvard University,Engineering Science,NA,Engineering,1807,1910
2005,16.0102,1,12,Harvard University,Linguistics,Linguistics,Humanities,1807,1910
2005,16.0102,2,1,Harvard University,Linguistics,Linguistics,Humanities,1807,1910
2005,16.0400,1,5,Harvard University,"Slavic Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,Humanities,1807,1910
2005,16.0400,2,2,Harvard University,"Slavic Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,Humanities,1807,1910
2005,16.0501,1,4,Harvard University,German Language and Literature,Languages and Literatures Other than English,Humanities,1807,1910
2005,16.0501,2,1,Harvard University,German Language and Literature,Languages and Literatures Other than English,Humanities,1807,1910
2005,16.0702,1,0,Harvard University,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics",Classical Studies,Humanities,1807,1910
2005,16.0702,2,1,Harvard University,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics",Classical Studies,Humanities,1807,1910
2005,16.0900,1,18,Harvard University,"Romance Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,Humanities,1807,1910
2005,16.0900,2,6,Harvard University,"Romance Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,Humanities,1807,1910
2005,16.1200,1,12,Harvard University,"Classics and Classical Languages, Literatures, and Linguistics, General",Classical Studies,Humanities,1807,1910
2005,16.1200,2,1,Harvard University,"Classics and Classical Languages, Literatures, and Linguistics, General",Classical Studies,Humanities,1807,1910
2005,16.1202,1,1,Harvard University,Ancient/Classical Greek Language and Literature,Classical Studies,Humanities,1807,1910
