date,shelter,count,area
11/17/2023,Shield of Hope,,west
11/17/2023,Social Club,1176,loop
11/17/2023,Super 8 Motel,278,north
11/17/2023,Wadsworth,611,south
11/17/2023,Walnut,839,west
11/17/2023,West Lake,286,west
11/17/2023,Wright,,north
11/17/2023,YWLA,248,south
11/24/2023,American Islamic College,1194,north
11/24/2023,Brands Park,119,north
11/24/2023,Broadway Armory,340,north
11/24/2023,Casa Esperanza,45,west
11/24/2023,Daley College,232,south
11/24/2023,Elston,,west
11/24/2023,Gage Park,381,south
11/24/2023,Halsted,1501,south
11/24/2023,Harold Washington Library,,loop
11/24/2023,High Ridge YMCA,149,north
11/24/2023,Inn of Chicago,1478,loop
11/24/2023,Lakeshore Hotel,617,south
11/24/2023,Leone Beach,93,north
11/24/2023,Little Village - Pulaski CVS,,west
11/24/2023,MWRD,523,north
11/24/2023,Near South Health Center,154,south
11/24/2023,New Life Church,47,north
11/24/2023,North Park Village,170,north
11/24/2023,North Western,186,west
11/24/2023,Ogden,1128,west
11/24/2023,Parthenon,183,west
11/24/2023,Piotrowski Park,174,west
11/24/2023,Shield of Hope,,west
11/24/2023,Social Club,1185,loop
11/24/2023,Super 8 Motel,261,north
11/24/2023,Wadsworth,618,south
11/24/2023,Walnut,875,west
11/24/2023,West Lake,299,west
11/24/2023,Wright,,north
11/24/2023,YWLA,246,south
12/1/2023,American Islamic College,1265,north
12/1/2023,Brands Park,142,north
12/1/2023,Broadway Armory,345,north
12/1/2023,Casa Esperanza,39,west
12/1/2023,Daley College,249,south
12/1/2023,Elston,367,west
12/1/2023,Gage Park,373,south
12/1/2023,Halsted,2030,south
12/1/2023,Harold Washington Library,,loop
12/1/2023,High Ridge YMCA,151,north
12/1/2023,Inn of Chicago,1455,loop
12/1/2023,Lakeshore Hotel,615,south
12/1/2023,Leone Beach,95,north
12/1/2023,Little Village - Pulaski CVS,,west
12/1/2023,MWRD,541,north
12/1/2023,Near South Health Center,151,south
12/1/2023,New Life Church,47,north
12/1/2023,North Park Village,178,north
12/1/2023,North Western,185,west
12/1/2023,Ogden,1135,west
12/1/2023,Parthenon,185,west
12/1/2023,Piotrowski Park,180,west
12/1/2023,Shield of Hope,,west
12/1/2023,Social Club,1200,loop
12/1/2023,Super 8 Motel,279,north
12/1/2023,Wadsworth,621,south
12/1/2023,Walnut,854,west
12/1/2023,West Lake,299,west
12/1/2023,Wright,,north
12/1/2023,YWLA,241,south
12/8/2023,American Islamic College,1247,north
12/8/2023,Brands Park,139,north
12/8/2023,Broadway Armory,341,north
12/8/2023,Casa Esperanza,42,west
12/8/2023,Daley College,250,south
12/8/2023,Elston,568,west
12/8/2023,Gage Park,378,south
12/8/2023,Halsted,2305,south
