Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
TAML 10100,(s) Govindarajan Navaneethakrishnan,9,4,N/A,0.273
ARAB 10103,(s)  Osama AbuEledam,12,3,N/A,0.217
FREN 20100,(s) Sylvie Goutas,9,5,N/A,0.251
SPAN 10100,(s) Alejandra Ovalle,10,9,N/A,0.216
EGPT 10102,(s),6,4,N/A,0.221
JAPN 10300,(s)  Miku Fukasaku,6,3,N/A,0.175
ITAL 10200,(s) Sara Dallavalle,8,8,N/A,0.289
LATN 10300,(s)  Kaicheng Fang,8,5,N/A,0.23
ITAL 10100,(s) Sara Dallavalle,8,5,N/A,0.23
SPAN 10300,(s)  Laura Colaneri,13,7,N/A,0.261
JAPN 10200,(s) Takeaki Okamoto,9,4,N/A,0.167
SPAN 20100,(s) Elizabeth Issert,12,12,N/A,0.242
SPAN 10100,(s) Felipe PierasGuasp,10,9,N/A,0.23
ITAL 10100,(s) Leonardo Cabrini,9,4,N/A,0.234
SPAN 20200,(s) Felipe PierasGuasp,5,5,N/A,0.237
JAPN 10200,(s) Tomoko Kern,9,3,N/A,0.164
SPAN 10200,(s)  Alan Parma,10,4,N/A,0.245
ASLG 10100,(s) David Reinhart,16,7,N/A,0.258
SPAN 10200,(s) Neringa Pukelis,14,8,N/A,0.223
BANG 10300,(s)  Mandira Bhaduri,3,3,N/A,0.199
ASLG 10100,(s) David Reinhart,15,7,N/A,0.211
SANS 20300,(s)  Daniel Arnold,4,3,N/A,0.203
GREK 10100,(s) Jonah Radding,17,8,9.17,0.151
SPAN 20102,(s) Juliano,6,4,N/A,0.208
SPAN 20100,(s) Juliano Saccomani,13,9,N/A,0.216
TURK 10101,(s) Kagan Arik,9,3,N/A,0.2
HEBR 10503,(s)  Ari Almog,15,4,N/A,0.197
GRMN 10200,(s) Nicole Burgoyne,4,3,N/A,0.245
SPAN 20100,(s) Pablo Garcia Pinar,12,9,N/A,0.256
GREK 20100,(s) Helma Dik,8,5,5.0,0.191
SPAN 20200,(s)  Linxi Zhang,9,8,N/A,0.219
ITAL 10300,(s)  Sara Dallavalle,8,8,N/A,0.249
FREN 20200,(s) Georgy Khabarovskiy,8,4,N/A,0.217
LATN 20100,(s) Michael I. Allen,7,3,N/A,0.181
SPAN 10200,(s) Linxi Zhang,15,11,N/A,0.316
SPAN 20100,(s) Pablo Garcia Pinar,4,4,N/A,0.261
FREN 10200,(s)  Isabelle Faton,12,7,N/A,0.282
KORE 10100,(s) Youjung Shin,4,3,N/A,0.225
FREN 20100,(s) Sylvie Goutas,6,4,N/A,0.197
