Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
SOSC 12400,(s),18,8,7.5,0.08
SOSC 17200,(s) Alexandra Matthews,19,10,6.39,0.218
SOSC 13200,(s),19,12,7.5,0.175
SOSC 13220,(s) Crystal Bae,18,7,11.79,0.196
SOSC 16200,(s) Hannah,19,6,5.83,0.177
SOSC 15300,(s)  Andreas Glaeser,11,6,8.5,0.215
SOSC 11500,(s) Michael Fisch,13,7,6.79,0.19
SOSC 15100,(s) Julia Brown,19,17,6.03,0.19
SOSC 12500,(s),17,6,5.0,0.216
SOSC 14200,(s) Jai Yu,20,9,3.61,0.205
SOSC 12400,(s),18,11,7.95,0.22
SOSC 15300,(s)  Daragh Grant,19,11,8.41,0.163
SOSC 12500,(s),19,5,6.5,0.267
SOSC 15300,(s)  Julia Brown,17,16,5.62,0.208
SOSC 11400,(s) Pamela Nogales,13,4,12.5,0.209
SOSC 14200,(s) Anne Henly,20,12,9.64,0.167
SOSC 15100,(s) Nina Valiquette Moreau,16,4,12.5,0.216
SOSC 14100,(s) Monica Rosenberg,19,12,6.25,0.28
SOSC 14300,(s)  Duygu UygunTunc,20,11,4.77,0.182
SOSC 12500,(s),14,7,8.21,0.278
SOSC 12400,(s),17,10,10.0,0.127
SOSC 11600,(s)  Ryan Allen,8,7,11.07,0.23
SOSC 11400,(s),15,5,9.5,0.187
SOSC 15100,(s) William Levine,18,10,6.5,0.217
SOSC 15100,(s) Daragh Grant,19,9,9.17,0.227
SOSC 17300,(s)  Bruce Winkelman,20,14,4.29,0.289
SOSC 18500,(s) Clifford Ando,17,9,5.62,0.162
SOSC 11400,(s) Joy Wang,14,6,10.0,0.195
SOSC 11500,(s) Laura Martin,19,12,8.75,0.192
SOSC 18600,(s)  Andrew,19,6,6.67,0.185
SOSC 18600,(s)  Andrew,19,7,5.36,0.229
SOSC 14300,(s)  Alexander Shaw,17,8,5.36,0.217
SOSC 13210,(s) Monika Nalepa,18,13,3.65,0.093
SOSC 16100,(s) Stephen,19,11,9.0,0.252
SOSC 11400,(s),16,7,9.17,0.175
SOSC 11500,(s) Jennifer Spruill,17,6,9.5,0.187
SOSC 18500,(s) Andrew,17,10,6.0,0.182
SOSC 15300,(s)  Jordan Jochim,17,13,5.96,0.25
SOSC 13300,(s),19,10,3.5,0.267
SOSC 11500,(s) Laura Martin,6,4,12.5,0.258
SOSC 11500,(s) Patricia Posey,15,9,9.17,0.141
SOSC 18500,(s) Andrew,18,10,7.5,0.238
SOSC 12600,(s),19,6,8.33,0.196
SOSC 17200,(s) Stephan Licha,18,14,12.5,0.223
SOSC 14100,(s) Kerry Le Doux,19,11,10.0,0.252
SOSC 12400,(s),15,8,8.93,0.217
SOSC 13300,(s),19,11,4.38,0.273
SOSC 15300,(s)  William Levine,19,10,6.0,0.221
SOSC 13300,(s),19,8,6.25,0.189
SOSC 11500,(s) Paul Cheney,12,7,9.64,0.212
SOSC 11400,(s) James Vaughn,16,9,7.5,0.164
SOSC 14200,(s) Shannon Lee Heald,19,9,9.72,0.2
SOSC 12600,(s),18,8,5.83,0.198
SOSC 17100,(s) Bruce Winkelman,19,14,3.75,0.197
SOSC 11600,(s)  James Vaughn,19,11,9.32,0.235
SOSC 17100,(s) Doren Snoek,19,15,8.83,0.194
SOSC 14100,(s) Shannon Lee Heald,19,10,9.0,0.186
SOSC 18600,(s)  Elisabeth,14,6,12.5,0.195
SOSC 12400,(s),17,7,6.67,0.244
SOSC 12600,(s),19,3,4.17,0.203
SOSC 12400,(s),18,8,9.38,0.224
SOSC 15100,(s) Konrad Weeda,15,7,11.79,0.143
SOSC 14100,(s) Katherine O'doherty,19,11,7.5,0.274
SOSC 13100,(s) Eric,19,12,9.32,0.197
SOSC 17300,(s)  Foster Pinkney,19,8,5.0,0.199
SOSC 11400,(s) Joy Wang,6,3,12.5,0.156
SOSC 11600,(s)  Marco Garrido,14,6,7.5,0.177
SOSC 11500,(s) Corbin Page,19,10,6.5,0.212
SOSC 12400,(s),N/A,N/A,N/A,0.211
SOSC 11400,(s),17,9,10.62,0.197
SOSC 11600,(s)  Nicholas O'Neill,19,8,7.5,0.245
SOSC 11400,(s) Ryan Allen,11,8,11.88,0.188
SOSC 11500,(s) Ryan Allen,8,4,15.0,0.226
SOSC 16100,(s) Dylan,18,9,10.0,0.193
SOSC 12500,(s),19,10,7.5,0.18
SOSC 11600,(s)  Corbin Page,19,6,10.0,0.214
SOSC 12600,(s),17,6,6.67,0.221
SOSC 11400,(s),15,7,6.5,0.145
SOSC 12600,(s),20,9,6.07,0.182
SOSC 16200,(s) Hannah,19,9,4.72,0.178
SOSC 16300,(s)  Stephen,19,8,11.07,0.194
SOSC 12600,(s),N/A,N/A,N/A,0.084
SOSC 12400,(s),17,11,7.0,0.208
SOSC 17100,(s) Alexandra Matthews,19,11,6.5,0.202
SOSC 16100,(s) Salih Noor,16,4,15.0,0.159
SOSC 12600,(s),18,11,8.41,0.142
SOSC 12400,(s),N/A,N/A,N/A,0.097
SOSC 12400,(s),16,6,8.33,0.168
SOSC 16300,(s)  Keegan,17,10,6.39,0.234
SOSC 16300,(s)  Salih,17,5,12.5,0.133
SOSC 14300,(s)  Marc Berman,19,12,3.75,0.283
SOSC 11500,(s) Isaac Hand,14,9,13.06,0.202
SOSC 11400,"(s) Benjamin Lessing, Isaac Hand",13,6,8.33,0.178
SOSC 15200,(s) Joshua Trubowitz,12,11,9.32,0.142
SOSC 12500,(s),19,10,7.0,0.252
SOSC 17100,(s) Derek Buyan,19,14,11.5,0.243
SOSC 14200,(s) Sarah London,19,13,6.35,0.181
SOSC 14100,(s) Duygu UygunTunc,19,7,5.36,0.129
SOSC 18600,(s)  Jane Dailey,17,9,9.5,0.231
SOSC 17100,(s) Alexandra Matthews,18,9,6.39,0.199
SOSC 12500,(s),19,15,5.0,0.206
SOSC 13100,(s) John,19,12,8.5,0.174
SOSC 15300,(s)  Taimur Reza,12,4,13.75,0.223
SOSC 11500,(s) Nicole Whalen,13,9,10.83,0.189
SOSC 11500,(s) Isaac Hand,11,6,8.33,0.17
SOSC 12600,(s),N/A,N/A,N/A,0.105
